xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.293178,-2.37517,6.11407,0.3,0.05,-0.256053,-2.37538,6.12159
-0.297473,-2.37854,6.11307,0.3,0.05,-0.257428,-2.37666,6.12125
-0.299666,-2.38033,6.11258,0.3,0.05,-0.260118,-2.38069,6.12082
-0.301853,-2.38169,6.11207,0.3,0.05,-0.262154,-2.38335,6.1204
-0.306147,-2.3848,6.11108,0.3,0.05,-0.266549,-2.38716,6.11932
-0.310543,-2.38815,6.11008,0.3,0.05,-0.268021,-2.38842,6.11905
-0.312735,-2.38957,6.10958,0.3,0.05,-0.27251,-2.39226,6.11781
-0.314954,-2.39116,6.10908,0.3,0.05,-0.275535,-2.39487,6.11711
-0.319415,-2.39447,6.10808,0.3,0.05,-0.27694,-2.39611,6.11678
-0.321638,-2.3959,6.10758,0.3,0.05,-0.279712,-2.39871,6.11629
-0.324046,-2.39834,6.10707,0.3,0.05,-0.25338,-2.4045,6.12222
-0.326395,-2.40052,6.10657,0.3,0.05,-0.268586,-2.40503,6.1189
-0.328634,-2.40181,6.10607,0.3,0.05,-0.286607,-2.40662,6.11478
-0.333234,-2.40551,6.10508,0.3,0.05,-0.288168,-2.40787,6.11443
-0.335526,-2.40698,6.10458,0.3,0.05,-0.291379,-2.41042,6.11347
-0.337883,-2.40886,6.10408,0.3,0.05,-0.292997,-2.41172,6.11307
-0.340183,-2.41026,6.10358,0.3,0.05,-0.297709,-2.41554,6.11204
-0.342484,-2.41162,6.10308,0.3,0.05,-0.300519,-2.41806,6.11148
-0.347298,-2.41571,6.10208,0.3,0.05,-0.300128,-2.41966,6.11194
-0.349694,-2.41749,6.10158,0.3,0.05,-0.302353,-2.42231,6.11142
-0.352074,-2.41909,6.10108,0.3,0.05,-0.30414,-2.42349,6.11099
-0.354497,-2.42093,6.10058,0.3,0.05,-0.30744,-2.42607,6.11029
-0.356966,-2.42299,6.10009,0.3,0.05,-0.309042,-2.42728,6.10993
-0.359542,-2.4254,6.09958,0.3,0.05,-0.312031,-2.42987,6.10918
-0.361988,-2.4274,6.09909,0.3,0.05,-0.317463,-2.43357,6.10788
-0.367017,-2.43158,6.09809,0.3,0.05,-0.292745,-2.43942,6.11355
-0.36954,-2.43352,6.09759,0.3,0.05,-0.322102,-2.43886,6.10728
-0.372134,-2.43584,6.09709,0.3,0.05,-0.324139,-2.44159,6.10686
-0.377281,-2.44007,6.09609,0.3,0.05,-0.325709,-2.44285,6.10658
-0.379846,-2.4419,6.09559,0.3,0.05,-0.32931,-2.44533,6.10581
-0.382323,-2.4431,6.09509,0.3,0.05,-0.334539,-2.44901,6.1046
-0.387543,-2.44719,6.09409,0.3,0.05,-0.336318,-2.45024,6.104
-0.390197,-2.44929,6.09359,0.3,0.05,-0.325342,-2.45535,6.10663
-0.392866,-2.4514,6.09309,0.3,0.05,-0.31706,-2.45855,6.10858
-0.395466,-2.45271,6.09258,0.3,0.05,-0.344794,-2.45802,6.10273
-0.398022,-2.45427,6.0921,0.3,0.05,-0.347055,-2.46068,6.10218
-0.403141,-2.4569,6.0911,0.3,0.05,-0.348681,-2.46192,6.10191
-0.40554,-2.45713,6.0906,0.3,0.05,-0.352078,-2.46438,6.1013
-0.408091,-2.4583,6.0901,0.3,0.05,-0.357751,-2.46806,6.10009
-0.413238,-2.46087,6.0891,0.3,0.05,-0.359563,-2.46923,6.09933
-0.415755,-2.46177,6.08859,0.3,0.05,-0.363381,-2.47171,6.09868
-0.41833,-2.46299,6.08809,0.3,0.05,-0.368559,-2.47543,6.0978
-0.423525,-2.46555,6.08709,0.3,0.05,-0.368534,-2.47691,6.09817
-0.426028,-2.46628,6.08659,0.3,0.05,-0.371003,-2.47948,6.09751
-0.428566,-2.4672,6.08609,0.3,0.05,-0.372742,-2.48074,6.0973
-0.431069,-2.46791,6.08559,0.3,0.05,-0.376253,-2.48321,6.09674
-0.433637,-2.46898,6.08509,0.3,0.05,-0.377967,-2.48443,6.09647
-0.43627,-2.4704,6.08459,0.3,0.05,-0.381951,-2.48681,6.09566
-0.439181,-2.47332,6.08408,0.3,0.05,-0.385851,-2.48917,6.09444
-0.442137,-2.47555,6.08355,0.3,0.05,-0.387799,-2.49035,6.09414
-0.444794,-2.47766,6.08308,0.3,0.05,-0.389724,-2.49154,6.0938
-0.447669,-2.47981,6.08257,0.3,0.05,-0.393254,-2.49399,6.09326
-0.450423,-2.48175,6.08208,0.3,0.05,-0.396052,-2.49802,6.0929
-0.45616,-2.486,6.08108,0.3,0.05,-0.401494,-2.50169,6.09206
-0.461966,-2.49029,6.08008,0.3,0.05,-0.403259,-2.50284,6.09179
-0.464912,-2.49256,6.07958,0.3,0.05,-0.408538,-2.50499,6.09055
-0.468013,-2.49528,6.07906,0.3,0.05,-0.410736,-2.50616,6.0899
-0.470916,-2.49738,6.07857,0.3,0.05,-0.414901,-2.5085,6.08883
-0.473972,-2.49994,6.07807,0.3,0.05,-0.390691,-2.51475,6.09458
-0.477011,-2.5023,6.07757,0.3,0.05,-0.422632,-2.51318,6.08762
-0.480063,-2.50464,6.07707,0.3,0.05,-0.426562,-2.51559,6.08657
-0.48627,-2.50961,6.07608,0.3,0.05,-0.42843,-2.51677,6.08617
-0.489491,-2.51248,6.07558,0.3,0.05,-0.43223,-2.51916,6.08562
-0.492651,-2.51492,6.07508,0.3,0.05,-0.438356,-2.52264,6.08463
-0.498917,-2.51914,6.07407,0.3,0.05,-0.446667,-2.52572,6.08216
-0.50513,-2.52332,6.07308,0.3,0.05,-0.448735,-2.52682,6.0818
-0.508198,-2.52485,6.07258,0.3,0.05,-0.440105,-2.53179,6.08414
-0.511254,-2.52627,6.07208,0.3,0.05,-0.458813,-2.53269,6.08005
-0.51752,-2.52993,6.07109,0.3,0.05,-0.464767,-2.53619,6.07887
-0.523848,-2.53363,6.07009,0.3,0.05,-0.466672,-2.53731,6.07862
-0.527044,-2.5354,6.06959,0.3,0.05,-0.470818,-2.53966,6.07803
-0.530265,-2.53724,6.06909,0.3,0.05,-0.472941,-2.54073,6.07765
-0.533447,-2.53882,6.0686,0.3,0.05,-0.479431,-2.54258,6.07556
-0.536736,-2.54059,6.06809,0.3,0.05,-0.486034,-2.54599,6.07447
-0.542934,-2.54323,6.0671,0.3,0.05,-0.48777,-2.54713,6.0743
-0.546041,-2.54428,6.0666,0.3,0.05,-0.492057,-2.54944,6.07356
-0.549205,-2.54556,6.0661,0.3,0.05,-0.494073,-2.55053,6.07289
-0.552498,-2.5474,6.06561,0.3,0.05,-0.48542,-2.5556,6.07517
-0.555825,-2.54933,6.06511,0.3,0.05,-0.504097,-2.55631,6.07144
-0.562272,-2.55228,6.06411,0.3,0.05,-0.480926,-2.56283,6.07651
-0.565463,-2.55317,6.0636,0.3,0.05,-0.498746,-2.5622,6.0725
-0.568523,-2.55397,6.06311,0.3,0.05,-0.519968,-2.56239,6.06786
-0.574995,-2.55674,6.06211,0.3,0.05,-0.526251,-2.5658,6.06704
-0.581398,-2.55904,6.06112,0.3,0.05,-0.502288,-2.57257,6.07224
-0.584612,-2.56012,6.06062,0.3,0.05,-0.534932,-2.5702,6.06527
